0,一如既往 好吃 希望 开 城市
0,味道 不错 分量 足 客人 满意
0,下雨天 没有 想象 中 火爆 环境 干净 古色古香 做 服务行业 服务 场地 脏 阿姨 打扫
0,真心 好吃   没 好多 味道
0,少送 牛肉 汉堡   好吃   特别 鸡肉 卷   不想 评论   买
0,用美团 图 打折
0,好难 吃水 煮 鸡杂
0,环境 服务 热情 味道 鱼 新鲜 儿子 吃 饱 包子 饺子 好吃
0,一如既往 好吃 更 喜欢 吃 全翅
0,四个 吃饱 阔以
0,蛋糕 好吃 送货 服务 一流 下次 机会 买
0,肉 好吃 脆香 鸡排 煲仔饭 半 卤蛋 ## 秘制 小炒 肉 煲仔饭 半 卤蛋 太辣 功夫 烤 鸡腿肉 煲仔饭 半 卤蛋 越 吃 越 没味
1,恶心 不想 说 喝 嘴里 嚼 两下 口感 吐出来 蟑螂 关键 嚼 两口 昨天 喝 恶心 饮食 行业 麻烦 卫生
0,巨 难吃 咸 酸
0,价格 实惠 服务态度 分量 超足 鸭 爪 入口 化 软 糯 入味 超辣 推荐
0,喜欢 地方 菜品 味道 不错 点个 鸳鸯锅 锅底 20 元
0,真的 不错 吃 俩 次 朋友 外地 特意 带 吃 回去 吃 东西 没 味 重庆火锅 好吃 特别 喜欢 地方 特别 重庆 老 火锅 价格 实惠 服务态度 不错 太热 辣 慌 嘻嘻
0,好吃 强力 推荐 香菜 牛肉 招牌菜 名不虚传
0,味道 不错 份量
1,真的 语 两次 菠萝包 里头 奶油 臭 吃
0,第二次 吃 味道 金港 国际 逛累 吃
1,饭 虫 恶心 不想 吃 差评
1,星星 ❤ ️ 外卖 小哥 女朋友 送 外卖 摔 心疼 芒果 忍 女朋友 吃 拉肚子 分量 如图 年 美团 老 顾客 第一次 外卖 差评
1,吃 比萨 虫子 这是 商家
0,送 小时 东西 冷
0,点 东西 没有 加完
0,性价比 算 高 口味 适合 菜品 干净 吃
0,东西 不错 蛋糕 好吃 还会 买 芒果 千层 吃
0,一如既往 喜欢 他家 掌中宝 地瓜 闺蜜 完 电影 饿 买来 填 肚子
0,挺好吃 特别 服务态度 环境 干净
0,老板 热情 餐馆 干净 口味 不错 下次
0,环境 团购 享受 包房 已到 他家 吃 菜品 份量 足 包间 服务员 不错 机会 还会来
0,吃 几天 不吃 想 正宗 老 火锅 味道 毛肚 很巴适 特别 推荐 他家 麻辣 牛肉 安逸 得板 位置 难 找 桌子 太少 预订
0,好吃   姜  
0,    好吃   不错   漂亮 高端
0,味道 不错 四个 三 男 一女 吃 撑
0,来得 没有 早 态度 赞
0,不错
0,不错     挺   几次 买     挺 便宜     服务态度 不错
0,exo 这是 大份 平常 店里 吃小份 多好 欺骗 消费者
0,量足 味道 不错
0,真的 超级 划算 分量 挺 足 男朋友 两个 吃 吃 撑 位置 不好 找 地点 网吧 指示牌
0,环境 味道 不错 价格 不贵 菜品 新鲜
0,味道 特别 赞 吃 几次
1,味道 先 说       吃 拉肚子 真的
0,味道 药膳 味道 感觉 很补
0,感觉 味道 不错 团购 确实 便宜
1,室友 吃 拉肚子   第二天 拉 三次
0,团购 划算 粑 粑 好吃 套餐 菜 换
0,开车 吃 味道 挺 环境 不错 聚餐 这家
0,明明 两份 稀饭 看不到 再也 不买
0,毛血旺 一盆 豆芽 从来不 写 评价 实在 忍不住 本来 饿死 没 胃口 啃 面包
1,鲜切 海南 香蕉 王 吃 完 反胃 想 吐 整晚 干呕 鲜切 苹果 难吃 甜 网购 第一次 差评 放心 明天 找
0,  环境 不错   服务 不错   味道 不错
0,服务 不错 味道 欠佳 速度 比较慢
0,三个 字 难吃
0,聚 划算 巨 好吃   送货
1,卧槽 地沟油 油 黑色
0,好吃 老板 大方 吃 完后 送 一份 醪糟 汤圆
0,酸菜 酸 汤 啥子 没有 昨晚 好吃
0,正宗 幸福 西饼 特别 难吃
0,讲真 味道 不怎么样
0,她家 吃 羊肉 粉 味道 正宗 好吃 强烈推荐
0,老 顾客 汤锅 很赞 炒菜 超赞
0,喜欢 喜欢 喜欢     便宜 划算
0,味道 虾肉 更是 好吃 螃蟹 瘦
0,味道 不错
0,吃 一口 不想 吃 太 难吃 肉 变味 肉
0,味道 不错 这家 老客户
0,炒饭 吵糊 重庆 天气 太热
1,我勒个     吃 一半 吃掉 一只 蟑螂   刚想 吃 看着     太 恶心
0,菜品 新鲜 份量 足
0,好喝 妹妹 态度 去过 几次 爱喝 奶茶
0,排队 牛排 配菜 挺 好评
1,一点 芝士 没有 差 差 差 难吃 配送 慢 一点 开心
0,辣鸡 逼 吃 两口 扔
0,好多 吃 大厅 满 味道 不错 值得
0,很棒 猫猫 可爱 老板 热情 放松 地方
0,第二次 店 消费 服务 菜品 不错 团购 性价比 高些 烤鸭 味道 色 香 味 美 一家人 吃 开心
0,菜品 不错 服务周到 味道 挺 素菜 少 点
0,      味道 挺     几次     关键 态度 挺     说       团购 态度 不好
0,第二次 榴莲 披萨 棒 意面 不错
0,满意 就餐 服务员 态度 上菜 速度 快 下次 还会 鲁西 肥牛 我爱你
0,挺 巧克力 好看 性价比 高
0,一如既往 好喝 排队 下次 还会来
0,全是 海椒 好吃
0,菜品 酒水 免费 口味
0,服务周到 口味 好评
0,机场 找到 味道 不错 经济 实惠
0,菜品 新鲜 物美价廉 朋友 好评 麻椒菌花   梅子 酒
0,地方 好找   找 两三次   老板 超级   东西 好吃   推荐 推荐
0,学林 街 好找 干锅 味道 不错 男朋友 两个 吃得饱 饱 分量 足 味道 好哟
0,太咸 没法 吃 希望 慎重 点餐
1,汉堡 肉 生 汉堡 没有 薯条 量少 难吃
0,一份 骗人 一份 两根 我点 十五 份 菜 煮 一半 盒 吃 还花 四十 几块钱 尖商 建议 点餐 朋友 再点 家 味道不好 份量 更行
0,好吃 实惠 免费 蛋炒饭 银耳汤
0,食材 新鲜 环境 优雅 价格合理 食材 充足 各式各样 糕点 很漂亮 牛排 大虾 扇贝 食材 新鲜 好吃 甜点 不错 回头客
0,味道 没有 下饭 菜
1,泡 芙 霉 有霉点 昨天晚上 买 早上 发现 吃 四五个 想着 吐
0,不错 适合 三两个 朋友 喝个 早茶
0,不错   蛮 好吃
0,一如既往 喜欢       好吃 好吃 好吃
0,味道 不错       菜量
1,告诉 米饭 馊
0,一如既往 位置 好找 服务态度 喜欢 桂花 米酒 汤圆 红糖 糍粑   桂花 米酒 小汤   脆皮 春卷
0,味道 不错   鱼 不错     挺 喜欢
0,团   好吃 很香   生意
0,吃 牛肉 粉 味道 量 足 老板 态度 超级   值得 推荐 下次 吃
0,上菜 速度 快   服务到位   值得 推荐
0,经济 实惠     味道 不错   下次 选定 家     一点 同价位 换菜   能改
0,我家 对面 吃 满意 服务员 挺 还会
1,不知 泡椒 血旺 臭
0,环境 优雅 安静 舒适 菜品 味道 不错
1,掉 地上 说 送 回收 一块 石头 太 垃圾 这么久 摔 没有 怪 还来 回收 送来 真的 够
0,菜品 新鲜     环境 不错   锅底 太贵
0,味道 赞 包装 很漂亮 送货 很快 娃娃 胸前 三朵 粉色 花里 纸片 状 固体 食用
0,味道 服务态度 分量 足 值得 品尝
0,不错 实惠
0,不错 吃 N 次 爽歪歪
0,多年 老店 味道 服务 推荐
0,位置 难 找 挺 看着 现做 喝 奶味重 挺不错
0,不错 帮别人 团购 团购 划算
0,同学 几次 好评 好评 感
1,饭 馊 不想 香辣 鸡
0,糊辣壳 特色 味道 唯一 美中不足 面条 喜欢 吃面 南川 面店 试吃 店里 面 南川 供货 南川 制作 面 吃 碱性 重 口感 欠佳 固定 吃 两三家 面 博赛 一家 黑娃面 面条 好吃 一家 诶 说 东风路 这家 黑娃面 不好 特色 味道 正宗 没 挑剔 不错 选择 店家 想要 精益求精 建议 换家 供货商 卖家 对面 重庆 面熟 她家 面条 挺 听说 是从 万盛
0,菜 饭 餐盒     量少 没 汤
0,味道 分量 较足 光顾
0,想 老公 想 打个 牙祭 真心 没 失望 味道 不错 价格 划算 吃 完后 真的 扶 墙 节奏 老公 评价 吃 类型 价位 二人 餐 性价比 评分 一家 还会 梅子 酒 加分 一口 肉 一口 酒 太 开心
1,花甲 臭掉 汤汁 一股 馊味
0,味道 不错 环境 推荐 川剧 变脸
0,一如既往 好吃 现烤 披萨 喜欢
0,位置 太 好找 味道 生意 太好 一会
0,好吃 家 常客 味道 棒棒
0,价廉物美
0,味道 太 差 份量 寸 没有 比萨 奶酪 丝 大饼 没有 做 好吃
0,味道 棒 强烈推荐 一百
0,满意 味道 不错 买过
0,味道 不错   值得 一去   很赞   好吃
0,巴萨 奴纳家 牛排 第一次 吃 牛排 不错 菜品 种类 甜品 水果 推出 主题 感觉良好 希望 更 惊喜
0,环境 食物 店员 耐心 气
1,太 垃圾     东西 臭
1,饭里 钢丝 第二次 第一次 没说
1,老   子   吃 钢丝 球   没   吞下去   铁丝   嘴里 抠   弄 喉咙 发炎   吞口水 痛 外卖   商家 说
0,味道 环境 干净 性价比 高 常
0,手枪 鸡腿 棒棒 哒 超级 好吃
0,不错 第二次
0,味道 绿豆糕 超 好吃
0,蛋糕 很漂亮 味道 叉叉 太小 不好
0,菜品 环境 特别 团购 几次 每次 感觉 吃得饱 饱
0,环境 好哟     陪 同学 味道 不错     可惜 单反 拍 图
0,买 两张 省 20 块 蛋糕 挺好吃
0,椒 麻兔   鱼香 黄鱼   爱上 蒸蛋   青椒 鱼   好吃 周一 周四 不用 排队 很快  
1,打开 虫子   恶心 吃不下 饭
0,第一次 吃 味道 挺 喜欢 买
0,菜品 新鲜 分量 足 老板 态度
0,找 一家 近 吃 吃 双人 套餐 价格 实惠 味道 不错 下次 还会来
1,没有 筷子 感觉 一点 新鲜 昨天晚上 吃 拉肚子
1,吃 一半 发现 有根 钢丝 球 拍 照片
0,不错 服务态度 每次 生意 上菜 速度 快
0,店面 老板 服务 特别 喜欢
1,凉皮 味道 吃 完 肚子 舒服 拉肚子 第一次 这家 吃 希望 有所改进
0,帅哥 经理 又帅 服务 光顾 家 帅哥 经理
0,没收 外卖 电话 不接
1,臭臭 难吃 小主 点
0,味道 不错 菜品 新鲜 服务周到 店内 环境 不错
0,美团 实惠 味道 不错 重庆 地道 口味
0,菜品 口味 服务 环境
0,朋友 超级 满意 菜品 特别 特别 新鲜 饮料 随便 喝 关键 味道 环境 价格 便宜 满意 满意 下次 带 家人 吃 朋友 聚会 家庭聚会 极好
0,少 一份 饭 说   补 送还 慢   优先 外卖 退鬼 吃
1,吃 一半 虫
1,这家 店 卫生 吃 盒饭 小强 腿 苍蝇 可惜 忘 拍 郁闷 整只 小强 吃 吐 卫生 太 吓人 敢 你家 吃 本来 情况 主动 退款 退 12 元 打发 同事 作证 没说 假话 一共 点 份 盒 虫 无语 吃 两盒 打电话 没 退钱 夸张 恶心 同事 之间 没 吃 吃 杂酱 米线 之间 恶心 小强 整只 拍 两款 请 欣赏 倒霉 吃 送出 餐 盒 太 卫生 蹄 花汤 套饭 ## 烫 火腿 套餐 ## 杂酱 米
0,送 小时 饿死
0,不错 带 孩子 吃 下次 还会来 服务 价格
0,味道 一如既往 滴巴适 大人 小孩 吃 肚子 圆圆的
0,14 块钱 特色 猪脚 饭 23 陪 开胃菜 猪脚 饭 分量 菜 一模一样 感觉 骗
0,去过 几次 老板 味道 不错
1,难吃 一点 新鲜 吃 完后 拉肚子
0,好吃 免费 加 米线 味道 环境
0,口味 挺 喜欢
0,服务生 热情 漂亮   位置 好找   装修 超级 棒   火锅店   环境 干净   20 万 马桶   好酷   重点   重点 菜 好吃 虾丸 超级 Q 爱 玉米 烙
0,真心 推荐 家 饮品 味道
0,环境 服务 不错 速度 很快
1,shen 秘制 卤 花甲 ## 烤 带子 ## 烤 扇贝 王 花甲 暴多 沙子 吃 没 吃 心情 扇贝 划成 第一次 开 眼见
1,筷子 坏 份饭 里 头发
0,咯
0,口味 喜欢 上菜 速度 快
0,喜欢 老板娘
0,吃不完 不错 好吃
1,没 盐味 牛肉 排骨 新鲜 异味 这家 点过 几次 干锅 我用 优惠券 商家 以次充好 光顾
0,环境 菜品 不错 服务
0,不错 吃 几次 上菜 速度 超快
